Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	DOP	lat	long	distance (m)	X_Act	Y_Act	% HeadDown	Activity	SMA	Diffxy	Meanxy	Varxy	logx	logy	logdiffxy	logmeanxy	logvarxy	logdistance	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123
Abdel	177386	1636	10/5/1950	7:56	0.5410	0.4590	0.0000	115	1524	2.4	35.9467664	-97.2690953	109.20	61	89	47	G	150	-28	75	392	1.8	1.9	1.4	1.9	2.6	2.0	170.2	170.8	6.9	171.0	347.6	172.9	172.3	215.5	173.4	285.5
Abdel	177379	1553	9/15/1950	11:41	0.1986	0.8014	0.0000	226	1535	2.4	35.9482794	-97.2688111	106.01	248	8	5	RS	256	240	128	28800	2.4	0.9	2.4	2.1	4.5	2.0	0.8	175.9	142.9	177.4	227.1	170.2	16.1	16.1	343.1	343.6
Abdel	177360	1635	9/15/1950	11:41	0.1896	0.8104	0.0000	203	1525	2.4	35.9482847	-97.2688047	104.51	44	120	46	G	164	-76	82	2888	1.6	2.1	1.9	1.9	3.5	2.0	176.6	143.4	130.9	226.3	418.8	0.8	170.8	15.6	171.0	343.9
Abdel	177442	1677	10/5/1950	7:56	0.4446	0.5554	0.0000	135	1538	2.6	35.9467106	-97.2690631	104.05	193	55	55	G	248	138	124	9522	2.3	1.7	2.1	2.1	4.0	2.0	49.7	241.3	182.1	242.2	346.2	176.6	175.9	6.9	177.4	347.6
Abdel	177442	1677	10/6/1950	7:48	0.7670	0.2330	0.0000	39	1538	2.9	35.9470017	-97.2686436	3.81	148	37	83	G	185	111	93	6160.5	2.2	1.6	2.0	2.0	3.8	0.6	192.5	143.2	44.3	296.5	471.0	49.7	143.4	142.9	226.3	227.1
Abdel	177492	1779	9/14/1950	13:16	0.0658	0.9342	0.0000	266	1531	3.8	35.9483836	-97.2673556	98.09	116	54	14	W	170	62	85	1922	2.1	1.7	1.8	1.9	3.3	2.0	104.0	234.8	9.7	278.4	513.4	192.5	241.3	130.9	242.2	418.8
Abdel	177379	1553	9/14/1950	11:37	0.4038	0.5962	0.0000	151	1535	3.1	35.9482842	-97.2685044	97.53	120	34	10	W	154	86	77	3698	2.1	1.5	1.9	1.9	3.6	2.0	174.4	97.5	12.2	409.4	504.4	104.0	143.2	182.1	296.5	346.2
Abdel	177492	1713	10/5/1950	7:56	0.5500	0.4500	0.0000	113	1532	4.0	35.9467794	-97.2690525	96.84	68	31	37	G	99	37	50	684.5	1.8	1.5	1.6	1.7	2.8	2.0	234.9	186.4	55.4	330.0	528.1	174.4	234.8	44.3	278.4	471.0
Abdel	177379	1553	9/14/1950	13:03	0.0820	0.9180	0.0000	245	1535	2.7	35.9484394	-97.2674381	96.75	155	16	5	W	171	139	86	9660.5	2.2	1.2	2.1	1.9	4.0	2.0	95.0	223.6	20.3	293.2	502.1	234.9	97.5	9.7	409.4	513.4
Abdel	177379	1553	9/14/1950	13:07	0.1988	0.8012	0.0000	209	1535	3.5	35.9483931	-97.2684922	95.24	112	147	11	W	259	-35	130	612.5	2.0	2.2	1.5	2.1	2.8	2.0	198.1	101.9	93.1	407.0	423.8	95.0	186.4	12.2	330.0	504.4
Abdel	177416	1646	10/6/1950	13:03	0.2756	0.7244	0.0000	201	1527	4.2	35.9466114	-97.2684733	92.73	138	12	91	W	150	126	75	7938	2.1	1.1	2.1	1.9	3.9	2.0	208.9	218.7	60.0	225.7	459.8	198.1	223.6	55.4	293.2	528.1
Abdel	177360	1635	9/14/1950	13:16	0.0500	0.9500	0.0000	247	1525	3.8	35.9482650	-97.2673714	92.01	66	49	50	W	115	17	58	144.5	1.8	1.7	1.2	1.8	2.2	2.0	16.8	228.1	102.5	250.9	427.3	208.9	101.9	20.3	407.0	502.1
Abdel	177360	1635	9/15/1950	11:32	0.0380	0.9620	0.0000	257	1525	2.5	35.9483986	-97.2674583	91.67	56	118	55	W	174	-62	87	1922	1.7	2.1	1.8	1.9	3.3	2.0	234.1	95.6	5.6	410.5	501.0	16.8	218.7	93.1	225.7	423.8
Abdel	177416	1646	10/5/1950	7:56	0.6302	0.3698	0.0000	91	1527	2.1	35.9467725	-97.2691097	90.14	120	6	95	G	126	114	63	6498	2.1	0.8	2.1	1.8	3.8	2.0	176.4	232.1	41.5	266.9	528.2	234.1	228.1	60.0	250.9	459.8
Abdel	177360	1635	9/14/1950	11:37	0.3044	0.6956	0.0000	164	1525	2.5	35.9482828	-97.2685103	89.36	117	101	30	W	218	16	109	128	2.1	2.0	1.2	2.0	2.1	2.0	90.6	195.0	90.6	351.8	612.9	176.4	95.6	102.5	410.5	427.3
Abdel	177492	1779	9/15/1950	11:32	0.0594	0.9406	0.0000	282	1531	2.8	35.9484142	-97.2675175	88.11	103	79	15	W	182	24	91	288	2.0	1.9	1.4	2.0	2.5	1.9	261.2	0.2	98.3	522.3	620.6	90.6	232.1	5.6	266.9	501.0
Abdel	177406	1635	10/5/1950	11:41	0.2024	0.7976	0.0000	214	1530	2.7	35.9467536	-97.2695700	87.51	54	97	59	G	151	-43	76	924.5	1.7	2.0	1.6	1.9	3.0	1.9	261.1	189.0	16.9	359.4	564.4	261.2	195.0	41.5	351.8	528.2
Abdel	177379	1553	9/15/1950	11:32	0.0244	0.9756	0.0000	283	1535	2.6	35.9484125	-97.2675169	87.20	59	21	17	W	80	38	40	722	1.8	1.3	1.6	1.6	2.9	1.9	98.3	274.8	0.6	303.3	578.6	261.1	0.2	90.6	522.3	612.9
Abdel	177492	1779	9/14/1950	11:37	0.2880	0.7120	0.0000	186	1531	4.3	35.9482575	-97.2685919	85.49	94	30	7	W	124	64	62	2048	2.0	1.5	1.8	1.8	3.3	1.9	205.0	98.9	92.7	480.3	488.0	98.3	189.0	98.3	359.4	620.6
Abdel	177492	1713	10/6/1950	12:50	0.6966	0.3034	0.0000	84	1532	3.5	35.9466031	-97.2695958	85.33	108	54	36	G	162	54	81	1458	2.0	1.7	1.7	1.9	3.2	1.9	275.3	273.0	227.0	283.0	357.2	205.0	274.8	16.9	303.3	564.4
Abdel	177360	1635	9/14/1950	13:03	0.1314	0.8686	0.0000	219	1525	4.7	35.9484139	-97.2675100	84.54	56	42	22	W	98	14	49	98	1.7	1.6	1.1	1.7	2.0	1.9	7.7	81.0	104.3	81.9	105.8	275.3	98.9	0.6	480.3	578.6
Abdel	177492	1779	9/14/1950	13:03	0.0934	0.9066	0.0000	249	1531	4.0	35.9484433	-97.2675878	84.27	56	8	5	W	64	48	32	1152	1.7	0.9	1.7	1.5	3.1	1.9	74.1	97.6	94.3	98.0	101.8	7.7	273.0	92.7	283.0	488.0
Abdel	177360	1635	9/14/1950	13:07	0.1998	0.8002	0.0000	197	1525	2.9	35.9484044	-97.2684100	81.20	48	78	32	W	126	-30	63	450	1.7	1.9	1.5	1.8	2.7	1.9	23.9	21.0	20.2	27.6	28.5	74.1	81.0	227.0	81.9	357.2
